,,,,Berpihak pada posisi,,,,,Peraturan membuat aman
,,,,,,,,
5.0,,,,Hidup cerewet,17.0,,,,"Pendidikan, kebudayaan"
,,,,"Bekerja dengan cepat, Tekun",,,,,"Pencapaian, penghargaan"
,,,,Mencoba mempertahankan keseimbangan,,,,,"Keselamatan, keamanan"
,,,,Mecoba mengikuti peraturan,,,,,"Sosial, Pertemuan kelompok"
,,,,,,,,
6.0,,,,Mengatur waktu secara efisien,18.0,,,,"Bertanggung jawab, pendekatan langsung"
,,,,"Sering terburu buru, Merasa tertekan",,,,,"Mudah bergaul, Antusias"
,,,,Hal hal sosial merupakan hal yang penting,,,,,"Mudah ditebak, konsisten"
,,,,Menyelesaikan apa yang telah dimulai,,,,,"Waspada, berhati hati"
,,,,,,,,
7.0,,,,Menolak perubahan mendadak,19.0,,,,Tidak mudah dikalahkan
,,,,Cenderung sering berjanji,,,,,"Akan melakukan sesuai perintah, mengikuti pimpinan"
,,,,Menyendiri jika dibawah tekanan,,,,,Riang Ceria
,,,,Tidak takut berkelahi,,,,,"Ingin segalanya teratur, Rapi"
,,,,,,,,
8.0,,,,Seorang pendukung yang baik,20.0,,,,Saya akan pimpin mereka
,,,,Seorang pendengar yang baik,,,,,Saya akan mengikuti
,,,,Seorang penganalisa yang baik,,,,,Saya akan bujuk mereka
,,,,Seorang delegasi yang baik,,,,,Saya akan mendapatkan faktanya
,,,,,,,,
9.0,,,,Yang Penting adalah hasil,21.0,,,,Memikirkan orang lain dahulu
,,,,"Melakukan dengan bendar, ketetapan dihitung",,,,,"Kompetitif, Menyukai tantangan"
,,,,Buat menjadi menyenangkan,,,,,"Optimis, positif"
,,,,Mari melakukan bersama,,,,,"Berpikir logis, sistematis"
,,,,,,,,
10.0,,,,"Akan melakukan tanpa, kontrol diri",22.0,,,,"Menyenangkan orang, Ramah"
,,,,Akan membeli berdasarkan hasrat,,,,,"Tertawa keras, hidup"
,,,,"Akan menunggu, Tidak ada tekanan",,,,,"Berani, tegas"
,,,,Akan membelanjakan apa yang saya inginkan,,,,,"Tenang, Pendiam"
,,,,,,,,
11.0,,,,"Ramah, Mudah berteman",23.0,,,,Menginginkan kekuasaan lebih
,,,,"Unik, bosan dengan rutinitas",,,,,Menginginkan kesempatan baru
,,,,Aktif mengubah hal hal,,,,,Menghindari konflik apapun
,,,,Menginginkan sesuatu yang pasti,,,,,Menginginkan arah yang jelas
,,,,,,,,
12.0,,,,"Non konfrontasi, Mengalah",24.0,,,,"Bisa diandalkan, Bisa digantungkan"
,,,,Penuh dengan rincian,,,,,"Kreatif, Unik"
,,,,Perubahan pada menit terakhir,,,,,"Berorientasi kepada hasil, Inti"
,,,,"Penuntut, Perusak",,,,,"Memegang teguh standar tinggi, Akurat"
,,,
,,,
,,,
,,,
,,,
,,,
































































































































































































































































































































































































































































































































































































































































































































































































































































































































































