jobdict,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,,jum_job,,jd_D,jd_I,jd_S,jd_C
D,Buyer,Operation Manager,"Superintendent, Construction",Attorney,Transport Personnel,Trouble Shooter,Consultant,"Production (Director, Manager, Supervisor)",Purchasing Agent,ENGINEERING MANAGER,PRODUCTION DIRECTOR,PRODUCTION SUPERVISOR,SELF EMPLOYED,STRATEGIC PLANNING,LAWYER,MARKETING,RESEARCHER,SALES REPRESENTATIVE,TRANSPORT PERSONNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,5.0,-4.0,-2.0,-1.0
DC,Production Planner,Research & Development,Financial Specialist,Revenue Agent,Chemist,Investor,Project Leader,Broker,Industrial Marketing,ACCOUNTANT,ACTUARIES,BANKING,CHEMIST,ENGINEER - GENERAL,FINANCIAL PLANNING,FINANCIAL SERVICES,FUND MANAGEMENT,HOSPITAL SUPERVISOR,INDUSTRIAL MARKETING,INVESTMENT BANKING,PROJECT MANAGER,STRATEGIC PLANNING,TECHNICAL MANAGEMENT,MEDICAL ADMINISTRATOR,MORTGAGE BROKERS,RESEARCH AND DEVELOPMENT,,,,,,,,,,,,,,,,,,,,26,,7.0,-8.0,-4.0,3.0
DCI,Accountant,Banker,Technician/Scientific,Engineering,Credit manager,Consultant,Self Employment,Lecturer,General Manager,BANKING,BUSINESS CONSULTANT,FILM DIRECTOR,FINANCIAL PLANNING,FUND MANAGEMENT,INDUSTRIAL RELATIONS,PRODUCTION PLANNING,SELF EMPLOYED,SOFTWARE SALES,TECHNICAL MANAGEMENT,TECHNICAL SUPERVISOR,COMPUTER ANALYST,COMPUTER HARDWARE SALES,CREDIT MANAGER,IT,LECTURER,LOGISTICS ,TRANSPORTATION,,,,,,,,,,,,,,,,,,,27,,6.0,1.0,-3.0,3.0
DCS,Director,Banker,Maintenance-Mechanic Supervisor,Chief Accountant,Doctor,Attorney,Security,Credit Control,Inspector,BUSINESS CONSULTANT,ENGINEER - GENERAL,HUMAN RESOURCES,PLANNER,PRODUCTION ADMINISTRATOR,PROJECT MANAGER,SOLICITOR,CHIEF ACCOUNTANT,CHIEF ENGINEER,CHIEF FINANCIAL OFFICER,CREATIVE DESIGNER,DOCTOR,PERSONNEL - HR,RESEARCH PLANNING,SCIENTIFIC WORK,SECURITY SPECIALIST,,,,,,,,,,,,,,,,,,,,,25,,9.0,-6.0,4.0,6.0
DI,Advertising & Promotion,Broker,Business Consultant,General Management,Group Leader,Self Employment,Public Relation,Sales & Marketing,ADVERTISING,BROKERS,BUSINESS CONSULTANT,BUSINESS MANAGEMENT,INDUSTRIAL RELATIONS,PRODUCTION MANAGER,PROMOTIONAL WORK,SELF EMPLOYED,SHARE BROKER,SUPERVISOR,CONFLICT RESOLUTION,DIRECTOR,LECTURER,MANAGEMENT,MARKET DEALER,MARKETING,PUBLISHING,SALES EXECUTIVE,SALES MANAGER,,,,,,,,,,,,,,,,,,,27,,7.0,5.0,-8.0,-3.0
DIC,Accountant,Banker,Technician/Scientific,Engineering,Credit manager,Consultant,Self Employment,Lecturer,General Manager,BANKING,BUSINESS CONSULTANT,FILM DIRECTOR,FINANCIAL PLANNING,FUND MANAGEMENT,INDUSTRIAL RELATIONS,PRODUCTION PLANNING,SELF EMPLOYED,SOFTWARE SALES,TECHNICAL MANAGEMENT,TECHNICAL SUPERVISOR,COMPUTER ANALYST,COMPUTER HARDWARE SALES,CREDIT MANAGER,IT,LECTURER,LOGISTICS ,TRANSPORTATION,,,,,,,,,,,,,,,,,,,27,,5.0,3.0,-4.0,3.0
DIS,Service Manager,Lecturer,Logistic & Distribution,"Trainner, Educator",Public Relation,Office Management,Customer Service,Account Services,ACCOUNT MANAGER,PRODUCTION SUPERVISOR,PROJECT MANAGEMENT,TEACHER,DISTRIBUTION - GENERAL,ENGINEER,IT,LECTURER,LOGISTICS ,MANAGER - GENERAL,OFFICE MANAGEMENT,RETAIL MANAGER,SALES MANAGEMENT,SALES REPRESENTATIVE,,,,,,,,,,,,,,,,,,,,,,,,22,,10.0,4.0,1.0,-9.0
DS,Investigator,Project Manager,Researcher,Product Development,Engineering and Production,System Analyst,Attorney,BARRISTER,ENGINEER - GENERAL,PRODUCTION MANAGER,PROJECT MANAGEMENT,SOLICITOR,SUPERVISOR,COMMERCIAL PLANNER,COMPUTER ENGINEER,DEVELOPMENT ENGINEER,IT,LAWYER,RESEARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,5.0,-2.0,3.0,-5.0
DSC,Business Consultant,Chief Accountant,Creative Designer,Doctor,Human Resource Management,Scientific,Research Planning,Project Leader,Chief Engineer,BUSINESS CONSULTANT,ENGINEER - GENERAL,HUMAN RESOURCES,PLANNER,PRODUCTION ADMINISTRATOR,PROJECT MANAGER,SOLICITOR,CHIEF ACCOUNTANT,CHIEF ENGINEER,CHIEF FINANCIAL OFFICER,CREATIVE DESIGNER,DOCTOR,PERSONNEL - HR,RESEARCH PLANNING,SCIENTIFIC WORK,SECURITY SPECIALIST,,,,,,,,,,,,,,,,,,,,,25,,7.0,-10.0,6.0,2.0
DSI,Service Manager,Lecturer,Logistic & Distribution,"Trainner, Educator",Public Relation,Office Management,Customer Service,Account Services,ACCOUNT MANAGER,PRODUCTION SUPERVISOR,PROJECT MANAGEMENT,TEACHER,DISTRIBUTION - GENERAL,ENGINEER,IT,LECTURER,LOGISTICS ,MANAGER - GENERAL,OFFICE MANAGEMENT,RETAIL MANAGER,SALES MANAGEMENT,SALES REPRESENTATIVE,,,,,,,,,,,,,,,,,,,,,,,,22,,8.0,4.0,5.0,-1.0
I,"Actor, Singer",Promoting & Demonstrating,Marketing,Public Relation,Presenter,Lecturer,Politician,Advertising,Hotelier,ACTORS,ADVERTISING,EXHIBITING,HOSPITALITY,HUMAN RESOURCES,POLITICIAN,PROMOTIONAL WORK,PUBLIC RELATIONS,PUBLICAN,SINGERS,DANCERS,JOURNALIST,MARKETING SERVICES,PUBLISHING,RETAIL - GENERAL,TECHNICAL WRITING,TOUR GUIDE,TRAVEL AGENT,,,,,,,,,,,,,,,,,,,27,,-10.0,10.0,-4.0,-6.0
IC,Lecturer,Trainer,Selling Specialist,Service Engineer,Public Relation,Conference Organizer,Estate Agent,Presenter,ENVIRONMENTALIST,FINANCE,INVENTING,PROJECT ENGINEER,SERVICE - ENGINEER,TEACHER,CONFERENCE ORGANISER,MARKETING,REAL ESTATE AGENT,SALES - CAPITAL EQUIPMENT,SALES - FINANCIAL SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,-2.0,8.0,-5.0,5.0
ICD,Event Organizer,Environmental Specialist,Trainner,Labor Relation Manager,Real Estate Agent,Lecturer,Counselor,Sales Engineer,CHEP,ENGINEERING DESIGNERS,ENGINEERING MANAGER,ENGINEERING SALES,FINANCIAL MANAGER,FINANCIAL SALES,FINANCIAL SPECIALIST,INSURANCE,PERSONNEL SERVICES,PROJECT ENGINEER,TEACHER,COMPUTER HARDWARE SALES,COMPUTER SOFTWARE SALES,CONSULTANT,LECTURER,MARKETING SERVICES,MORTGAGE AND FINANCE SALES,TRAVEL AGENT,,,,,,,,,,,,,,,,,,,,26,,1.0,5.0,-5.0,4.0
ICS,Event Organizer,Entertainers,Actor,Welfare Training,Teacher,Attorney,Technical Instructor,Presenter,Secretarial,ACCOUNTING - GENERAL,ACCOUNTS SUPERVISOR,ACTORS,ARTIST,BROADCASTING,FLORIST/FLORAL DESIGNER,GRAPHIC DESIGNER,INDUSTRIAL RELATIONS,PERSONNEL MANAGEMENT,PERSONNEL MANAGER,PRODUCTION SUPERVISOR,SINGERS,TEACHER - ADMINISTRATION,TECHNICAL INSTRUCTOR,CHEP,CUSTOMER SERVICE,DEMONSTRATOR,DESIGNER,ENGINEER,SALES ENGINEER,SECRETARIAL,WELFARE,,,,,,,,,,,,,,,31,,-8.0,9.0,4.0,6.0
ID,Sales & Marketing,Director,Lecturer,Motivator,Trainner,Recruitment,Public Relation,Self Employment,Team Leader,HOSPITALITY,POLITICIAN,PUBLIC RELATIONS,SELF EMPLOYED,SOLICITOR,TEAM LEADER,DIRECTOR,LAWYER,LECTURER,MANAGEMENT,MANAGER SALES AND MARKETING,MOTIVATORS,RECRUITMENT CONSULTANT,SALES AND MARKETING,THEATRICAL AGENT,,,,,,,,,,,,,,,,,,,,,,24,,1.0,5.0,-2.0,-5.0
IDC,Labor Relation Manager,Specialist/Technical Selling,Insurance Staff,Lecturer,Marketing Services,Project Manager,Travel Agent,Sales Engineer,Consultant,CHEP,ENGINEERING DESIGNERS,ENGINEERING MANAGER,ENGINEERING SALES,FINANCIAL MANAGER,FINANCIAL SALES,FINANCIAL SPECIALIST,INSURANCE,PERSONNEL SERVICES,PROJECT ENGINEER,TEACHER,COMPUTER HARDWARE SALES,COMPUTER SOFTWARE SALES,CONSULTANT,LECTURER,MARKETING SERVICES,MORTGAGE AND FINANCE SALES,TRAVEL AGENT,,,,,,,,,,,,,,,,,,,27,,4.0,7.0,-7.0,1.0
IDS,Business Consultant,Public Relation Representative,Customer Service,Lecturer,Complain Manager,Project Manager,Recruiting Agent,Self Employment,Team Leader,CALL CENTRE MANAGER,ENGINEERING MANAGER,HOSPITALITY,POLITICIAN,PRODUCTION MANAGER,PUBLIC RELATIONS,TEACHER,COMMUNITY COUNSELLING,COMMUNITY WORK,COMPLAINTS MANAGER,MARKETING SERVICES,RECRUITMENT CONSULTANT,SALES MANAGER,TELEMARKETING,,,,,,,,,,,,,,,,,,,,,,,23,,2.0,6.0,1.0,-5.0
IS,Personnel Welfare,Coach,Human Resource Specialist,Human Service Worker,Social Worker,Beauty Therapist,Psychologist,Trainner,Travel Agent,BEAUTY THERAPIST,HUMAN RESOURCES,PROMOTIONAL WORK,PSYCHOLOGIST,SOCIAL WORK,COACH,LECTURER,MENTOR - COACH,NURSE,PERSONAL ASSISTANT,PERSONNEL - HR,RETAIL - SPECIALIST,TRAINER,TRAINER,VETERINARIAN,WELFARE,,,,,,,,,,,,,,,,,,,,,25,,-4.0,4.0,2.0,-10.0
ISC,Event Organizer,Entertainers,Actor,Welfare Training,Teacher,Attorney,Technical Instructor,Presenter,Secretarial,ACCOUNTING - GENERAL,ACCOUNTS SUPERVISOR,ACTORS,ARTIST,BROADCASTING,FLORIST/FLORAL DESIGNER,GRAPHIC DESIGNER,INDUSTRIAL RELATIONS,PERSONNEL MANAGEMENT,PERSONNEL MANAGER,PRODUCTION SUPERVISOR,SINGERS,TEACHER - ADMINISTRATION,TECHNICAL INSTRUCTOR,CHEP,CUSTOMER SERVICE,DEMONSTRATOR,DESIGNER,ENGINEER,SALES ENGINEER,SECRETARIAL,WELFARE,,,,,,,,,,,,,,,31,,-4.0,9.0,6.0,3.0
ISD,Business Consultant,Public Relation Representative,Customer Service,Lecturer,Complain Manager,Project Manager,Recruiting Agent,Self Employment,Team Leader,CALL CENTRE MANAGER,ENGINEERING MANAGER,HOSPITALITY,POLITICIAN,PRODUCTION MANAGER,PUBLIC RELATIONS,TEACHER,COMMUNITY COUNSELLING,COMMUNITY WORK,COMPLAINTS MANAGER,MARKETING SERVICES,RECRUITMENT CONSULTANT,SALES MANAGER,TELEMARKETING,,,,,,,,,,,,,,,,,,,,,,,23,,2.0,5.0,3.0,-2.0
S,Administrative Work,Accounting,Research & Development,Public Services,Tele-sales,Field Worker,Graphic Designer,Operator,"Clerk, Typist",ACCOUNTANT,ACCOUNTING - GENERAL,ADMINISTRATOR,FLORIST/FLORAL DESIGNER,PLUMBER,PRODUCTION,SERVICE - GENERAL,CHEP,DESIGNER,LANDSCAPE GARDENER,PAINTER,RETAIL - GENERAL,SALES - GENERAL,TELEMARKETING,,,,,,,,,,,,,,,,,,,,,,,23,,-3.0,-5.0,8.0,-1.0
SC,Mechanic,Assembler,Programmer,Accountant,Receptionist,Company Secretary,General Administrator,"Typist, Clerk",Photografer,ACCOUNTANT,CASHIER,ENGINEERING MANAGER,FLIGHT ATTENDANT,HEALTh CARE,PLANNER,PROPERTY MANAGER,STATISTICIAN,SYSTEMS ANALYST,COMPANY SECRETARY,COMPUTER PROGRAMMER,DATA ENTRY,DATABASE ADMINISTRATOR,DOCTOR,NURSING - ADMINISTRATION,RECEPTIONIST,RESEARCH AND DEVELOPMENT,SALES - SOFT SELLING,SECURITY SPECIALIST,WORD PROCESSING,,,,,,,,,,,,,,,,,29,,-5.0,-4.0,5.0,2.0
SCD,Accountant,Cashier,Company Secretary,Programmer / Software Engineer,Data Entry,Analyst,Technician,Service Engineer,Security Specialist,ACCOUNTANT,ADMINISTRATION,ANALYST,CHEMIST,DIRECTOR,ENGINEERING SUPERVISOR,FINANCE,FLIGHT ATTENDANT,RESEARCH MANAGER,SCIENTIFIC WORK,SECURITY SPECIALIST,SERVICE - ENGINEER,SERVICE MANAGER,TECHNICAL SERVICE SUPPORT,TECHNICIAN,,,,,,,,,,,,,,,,,,,,,,24,,2.0,-8.0,7.0,6.0
SCI,Lecturer,Personnel,Customer Service,Instructor,Artist,Purchasing,Administrative Work,ACCOUNTANT,ACCOUNTING - GENERAL,ACCOUNTS SUPERVISOR,ADMINISTRATOR,ADVISERS,ARTIST,ENGINEER SUPERVISOR,HOSPITALITY MANAGER,PHOTOGRAPHER,PHYSIOTHERAPIST,PROJECT ENGINEER,PUBLIC RELATIONS - ADMINISTRATION,SERVICE - ENGINEER,STUDENT SERVICES,TEACHER - ADMINISTRATION,TECHNICAL INSTRUCTOR,COUNSELLING,CUSTOMER SERVICE,DEMONSTRATOR,DRAUGHTSMAN,LEGAL,NEGOTIATOR,SALES - SOFT SELLING,SALES ENGINEER,SECRETARIAL,VOCATIONAL EDUCATION,WELFARE,,,,,,,,,,,,34,,-6.0,2.0,5.0,3.0
SD,Investigator,Researcher,Akuntan,Credit Controller,Warehouse Supervisor,ACCOUNTANT,ADMINISTRATION MANAGER ,ARCHITECT,PRIVATE INVESTIGATOR,PROPERTY MANAGER,SERVICE - ENGINEER,COMPUTER SPECIALIST,CREDIT CONTROLLER,DESIGNER,ENGINEER,QUALITY CONTROLLER,RESEARCH AND DEVELOPMENT,TRANSPORT SUPERVISOR,WAREHOUSE MANAGER,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,3.0,-3.0,9.0,-1.0
SDC,Accountant,Project Engineer,Analyst,Chemist,Service Engineer,Desainer,Paramedics,"""Quality Controller""",Security Specialist,ACCOUNTANT,ADMINISTRATION,ANALYST,CHEMIST,DIRECTOR,ENGINEERING SUPERVISOR,FINANCE,FLIGHT ATTENDANT,RESEARCH MANAGER,SCIENTIFIC WORK,SECURITY SPECIALIST,SERVICE - ENGINEER,SERVICE MANAGER,TECHNICAL SERVICE SUPPORT,TECHNICIAN,,,,,,,,,,,,,,,,,,,,,,24,,4.0,-4.0,6.0,2.0
SDI,Accountant,Administrator,Service Selling,Distribution & Warehouse Supervisor,Director,Office Management,Project Engineer,Customer Service,Service Manager,ACCOUNTANT,FILM PRODUCER,PRODUCTION,PRODUCTION SUPERVISOR,PROJECT ENGINEER,SERVICE - ENGINEER,CUSTOMER SERVICE,DISTRIBUTION - MANAGER,DRAUGHTSMAN,OFFICE MANAGEMENT,RADIO ANNOUNCER,SALES - SELLING SERVICES,SALES ENGINEER,TECHNICAL WRITING,TELEMARKETING,TV PRESENTER,WAREHOUSE MANAGER,,,,,,,,,,,,,,,,,,,,26,,6.0,2.0,9.0,-7.0
SI,Counselor,Coach,Human Resource Specialist,Nurse,Psycholog,Account Service,Lecturer,Trainner,Travel Agent,CHARITABLE ORGANIZATIONS,HOSPITALITY MANAGER,HOTELIER,PHYSIOTHERAPIST,PSYCHOLOGIST,SOCIAL WORK,STUDENT SERVICES,CHILD CARE,NURSE,PERSONAL ASSISTANT,SALES - SOFT SELLING,SALES - SPECIALIST,THERAPIST,TRAINER,TRAVEL AGENT,WELFARE,,,,,,,,,,,,,,,,,,,,,25,,-9.0,2.0,5.0,-5.0
SIC,Lecturer,Personnel,Customer Service,Instructor,Artist,Purchasing,Administrative Work,Trainner,Instructor,ACCOUNTANT,ACCOUNTING - GENERAL,ACCOUNTS SUPERVISOR,ADMINISTRATOR,ADVISERS,ARTIST,ENGINEER SUPERVISOR,HOSPITALITY MANAGER,PHOTOGRAPHER,PHYSIOTHERAPIST,PROJECT ENGINEER,PUBLIC RELATIONS - ADMINISTRATION,SERVICE - ENGINEER,STUDENT SERVICES,TEACHER - ADMINISTRATION,TECHNICAL INSTRUCTOR,COUNSELLING,CUSTOMER SERVICE,DEMONSTRATOR,DRAUGHTSMAN,LEGAL,NEGOTIATOR,SALES - SOFT SELLING,SALES ENGINEER,SECRETARIAL,VOCATIONAL EDUCATION,WELFARE,,,,,,,,,,36,,-3.0,5.0,7.0,2.0
SID,Accountant,Administrator,Service Selling,Distribution & Warehouse Supervisor,Director,Office Management,Project Engineer,Customer Service,Service Manager,ACCOUNTANT,FILM PRODUCER,PRODUCTION,PRODUCTION SUPERVISOR,PROJECT ENGINEER,SERVICE - ENGINEER,CUSTOMER SERVICE,DISTRIBUTION - MANAGER,DRAUGHTSMAN,OFFICE MANAGEMENT,RADIO ANNOUNCER,SALES - SELLING SERVICES,SALES ENGINEER,TECHNICAL WRITING,TELEMARKETING,TV PRESENTER,WAREHOUSE MANAGER,,,,,,,,,,,,,,,,,,,,26,,2.0,5.0,9.0,-6.0































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































