Karakter,,,,,,,,,,,
PROFIL,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,
CDI,Creative,"is an extremely task-oriented person who is sensitive to problems.   He/She cares more about the task at hand than the people that are around him/her and how their feelings.  He/She is very determined and has an approach to thinking that allows for effective problem solving.  Because of his/her driven nature and desire for tangible results, He/She may come across as unfeeling or even cool and distant.  He/She makes decisions based on facts, not on emotions.  He/She tends to be quiet and does not trust easily. ","Dalam mengambil keputusan, ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut.",,,,,,2,2,2,2
CDS,Contemplator,"exhibits a determination for the quality and completion of tasks. Being analytical and logical, he/she detail oriented and have high standards for himself/herself and others. He/She are very centers on the task at hand and are steady and dependable. He/She selective and analytical in relationships. Thinking processes and work situations, first evaluating the facts and figures. He/She will take his/her time in making decisions for he/she want to be precise. However, he/she also operate with a competitive edge as he/she seeks to accomplish the task.","Dalam bekerja, ia sangat mengacu pada aturan, sehingga dianggap tidak fleksibel. Ia membuat keputusan berdasarkan fakta dan data, bukan berdasarkan emosi. Ia tidak banyak berbicara dan tidak mudah mempercayai orang lain. Ia baru akan mempercayai orang lain setelah orang tersebut setelah menunjukkan pencapaian hasil seperti yang diharapkan dan sesuai dengan standar yang telah ditetapkannya. Ia bisa menjadi seorang inisiator atau perancang perubahan dalam organisasi karena bisa diandalkan untuk menciptakan konsep-konsep kreatif. 

Ketakutan terbesarnya adalah tidak ingin hasil karyanya dianggap tidak sempurna, dikritik atau dikoreksi oleh orang lain karena hal tersebut dianggap merendahkan kualitas dirinya yang ingin selalu dianggap sebagai seorang yang perfeksionis yang tidak pernah gagal. Ia juga akan mudah bosan dengan pekerjaan rutin atau administratif, dan dalam kondisi tertekan menjadi sinis atau merendahkan orang lain.",,,,,,1,1,2,1.22169638
CI,Appraiser," focuses on the process.  Others see him as practical and logical.  He tends to be sensitive to criticism, but prefers to internalize his emotions rather than expose them.  He/She likes to clarify expectations before undertaking new projects, because he works hard to meet the standards that are set for him.

A  warm, outgoing person, He/ She enjoys having a high level of interaction with others.  He/She usually finds the ""silver lining"" in a difficult situation, and typically enjoys the thrill of trying new things.  He/She has a gift for influencing those around him and is viewed as an instinctive communicator.  Others find him/her  easy to approach and enjoy his easy, open rapport.","Ia sangat kompetitif dan memakai cara langsung untuk memperoleh hasil. Ia tidak memberi perintah, tetapi melibatkan orang lain ke dalam pekerjaan dengan memakai metode persuasif. Ia memancing kerjasama orang-orang disekeliling dengan memberi penjelasan tentang dasar dari aktifitas yang akan dilakukan. Ia piawai membantu orang lain memperoleh gambaran mengenai langkah-langkah yang perlu diambil dalam mewujudkan hasil yang diinginkan. Ia biasanya berbicara dengan mempergunakan rencana tindakan yang rinci yang sudah disiapkan dalam rangka memastikan kemajuan yang teratur. Karena begitu ingin meraih kemenangan, dirinya dapat menjadi tidak sabar bila standar yang ada tidak dijalankan. Ia adalah pemikir kritis dan mendalam serta mampu mengekspresikan kritik secara verbal.

Namun demikian, karena selalu ingin disukai oleh orang lain, ia akan mengalami kesulitan pada saat harus menghukum atau memberikan tindakan-tindakan disiplin kepada orang lain.",,,,,,2,2,2,2
CID,Creative,"is an extremely task-oriented person who is sensitive to problems.   He/She cares more about the task at hand than the people that are around him/her and how their feelings.  He/She is very determined and has an approach to thinking that allows for effective problem solving.  Because of his/her driven nature and desire for tangible results, He/She may come across as unfeeling or even cool and distant.  He/She makes decisions based on facts, not on emotions.  He/She tends to be quiet and does not trust easily. ","Dalam mengambil keputusan, ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut.",,,,,,2,1,2,2
CIS,Mediator,"wants to be accepted as a member of the team and likes to know exactly what is expected before he/she starts new projects.  He/She is a conscientious person who persuades others through logic and emotion.  He/She needs to be careful not to be overly enthusiastic or too talkative; He/She may get sidetracked and not finish what He/She set out to do.  He/She is very conscious about the quality of his/her work and expects that He/She will receive social approval for his/her ""job well done"".  He/She is sensitive to the people around |himher and will do his/her best to make the environment pleasing for others. He/She has excellent communication skills and can influence people by his/her knowledge of facts and ability to analyze people and situations.  ","Dalam bekerja, ia ingin diterima sebagai anggota tim dan selalu akan meminta kejelasan tentang harapan dan tujuan yang diinginkan sebelum memulai suatu tugas baru, karena ia akan bekerja keras untuk mencapai standar yang telah ditentukan kepadanya. Dalam situasi penuh tekanan, ia menjadi sangat teliti dan hati-hati, tidak lagi menunjukkan sikap diam atau bisa menjadi terlalu banyak bicara. Ia menjadi sangat memperhatikan kualitas kerja dan mengharapkan pengakuan dari rekan sekerjanya. Ia akan melakukan pendekatan logis dan emosi dalam membujuk orang lain.

Ia bisa menjadi pemimpin yang dominan apabila parameter tentang otoritasnya didefinisikan dengan jelas. Keputusan yang diambil selalu berusaha untuk menyenangkan semua pihak karena ia tidak menyukai konflik dan konfrontasi, padahal sebenarnya ia mampu menggunakan pendekatan logis. Situasi yang tidak menyenangkan bagi dirinya adalah pada saat ia harus mengevaluasi pekerjaan orang lain sehingga berdampak pada orang yang dievaluasi tersebut.",,,,,,1,1,2,1.161345285
CS,Perfectionist,"is a systematic thinker who tends to follow procedures in both personal and business life.  Proceeding in an orderly, predetermined manner, he/she is precise and attentive to detail.  He/She acts in a highly tactful, diplomatic fashion and rarely antagonizes his/her associates consciously.  He/She is extremely conscientious, He/She painstakingly requires accuracy in work and maintains high standards.  He/She may tend to get bogged down in details, particularly when decisions must be made.  He/She wants standard operating procedures and no sudden changes.   ","Dalam bekerja, ia selalu menginginkan standar prosedur kerja dan tidak ada perubahan mendadak. Ia senang lingkungan yang aman dengan adanya kejelasan peraturan dan regulasi. Akibatnya ia menjadi kurang kreatif, kurang dapat berimprovisasi dan sulit melihat dari sisi yang lain. Ia tidak suka dikritik, karena ia selalu mengharapkan setiap hasil kerjanya adalah sempurna, tanpa cacat. Kritik baginya tidak hanya serangan terhadap pekerjaannya tetapi  juga dianggap sebagai serangan terhadap pribadinya karena dianggap dirinya tidak bisa memberikan hasil yang sempurna. Ia menjadi tidak nyaman bila harus memutuskan secara cepat, ia juga kurang berani mengekspresikan perasaannya secara terbuka, selalu menahan diri dan penuh kehati-hatian dalam setiap tindakannya.",,,,,,3,2,2,2
CSD,Perfectionist,"is a systematic thinker who tends to follow procedures in both personal and business life.  Proceeding in an orderly, predetermined manner, he/she is precise and attentive to detail.  He/She acts in a highly tactful, diplomatic fashion and rarely antagonizes his/her associates consciously.  He/She is extremely conscientious, He/She painstakingly requires accuracy in work and maintains high standards.  He/She may tend to get bogged down in details, particularly when decisions must be made.  He/She wants standard operating procedures and no sudden changes.   ","Dalam bekerja, ia selalu menginginkan standar prosedur kerja dan tidak ada perubahan mendadak. Ia senang lingkungan yang aman dengan adanya kejelasan peraturan dan regulasi. Akibatnya ia menjadi kurang kreatif, kurang dapat berimprovisasi dan sulit melihat dari sisi yang lain. Ia tidak suka dikritik, karena ia selalu mengharapkan setiap hasil kerjanya adalah sempurna, tanpa cacat. Kritik baginya tidak hanya serangan terhadap pekerjaannya tetapi  juga dianggap sebagai serangan terhadap pribadinya karena dianggap dirinya tidak bisa memberikan hasil yang sempurna. Ia menjadi tidak nyaman bila harus memutuskan secara cepat, ia juga kurang berani mengekspresikan perasaannya secara terbuka, selalu menahan diri dan penuh kehati-hatian dalam setiap tindakannya.",,,,,,3,2,2,2
CSI,Practitioner,"wants to be accepted as a member of the team and likes to know exactly what is expected before he/she starts new projects.  He/She is a conscientious person who persuades others through logic and emotion.  He/She may need to be careful not to be overly enthusiastic or too talkative; he/she may get sidetracked and not finish what he/she set out to do.  He/She is very conscious of the quality of his/her work and expects that he/she will receive social approval for his/her ""job well done"".  He/She tends to be sensitive to the people around him/her and will do his/her best to make the environment pleasing for others.  He/She has excellent communication skills and can influence people by his/her knowledge of facts and ability to analyze people and situations.  ","Karena dirinya sangat memperhatikan perasaan orang lain, akan menjadi sulit bagi dirinya dalam mengambil keputusan yang memiliki dampak kepada orang lain, dalam kondisi ini biasanya ia akan meminta orang lain untuk ikut terlibat dalam proses menentukan keputusannya tersebut dan lebih senang berperan sebagai anggota tim. Dalam bekerja, kebutuhannya adalah diterima sebagai anggota tim. Ia sulit membuat keputusan bila parameternya tidak jelas. Namun setelah keputusan dibuat, ia akan sangat sulit mengubah keputusannya tersebut. Ia senang pada orang-orang mendukung gagasan dirinya.

Ia memiliki rasa keadilan dan kesetiaan yang tinggi. Ia selalu berusaha berpikir melalui dua sisi dari satu masalah. Ia juga cenderung berusaha menjadi pendamai dalam situasi konflik, karena mampu melihat dari berbagai sudut pandang yang berbeda, hanya saja upaya perdamaian yang dilakukan lebih terfokus pada orang-orang yang terlibat, bukan hanya pada masalahnya.",,,,,,1,1,2,1.309606611
D,Developer," is motivated by his ability to lead groups and influence others around him.  He/She is someone who takes the responsibility of leadership seriously when it is given to him/her, and is typically able to make important decisions without delay.  He/She exudes confidence and others respond to He's/She's natural ability to be a front runner

Recognizing the value of a good relationship, He/She is very patient and caring when relating to others.  He/She is even-paced; and  usually remains calm and relaxed, even in situations that may ruffle some others.  He/She likes the role of a peacemaker, when working through problems, He/She tries to rely on successful strategies that have proven results.","Ia memiliki kekuatan ego yang besar, cenderung sangat individualistis dan selalu mencari pandangan-pandangan baru karenanya ia tidak menyukai berada dibawah atasan yang penuh kontrol, ia lebih menyukai atasan yang memberikan keleluasan untuk pencapaian tujuan yang diharapkan. Karena sangat bertumpu pada diri sendiri, cenderung lebih memilih untuk mencari solusi masalah sendiri. Ia bebas dari pengaruh tekanan kelompok. Dan karenanya tidak mengindahkan aturan-aturan untuk memunculkan dengan pemecahan masalah secara inovatif dan imajinatif. Walaupun cenderung berperilaku langsung dan tegas, dirinya juga mahir memanipulasi orang dan situasi untuk mencapai tujuan yang diinginkan. Akan tetapi apabila terpaksa harus berpartisipasi bersama orang lain yang membatasinya, ia cenderung untuk melawan.

Ia seorang yang ""self centered"" (terpusat ke diri sendiri), kesempatan untuk maju dan tantangan adalah hal yang penting bagi dirinya. Ketidakmampuan berempati membuatnya tampil sebagai manusia yang tidak perduli.",,,,,,2,1,2,2
DC,Challenger,"enjoys having a high level of interaction with others.  He/She usually finds the ""silver lining"" in a difficult situation, and typically enjoys the thrill of trying new things.  He/She has a gift for influencing those around him and is viewed as an instinctive communicator.  Others find him/her easy to approach, open rapport.

Others see him/her as a versatile person whom they rely upon to break up monotonous or routine situations.  He/She tends to be individualistic, and may sometimes prefer to do things outside of the team.  He/She may even be perceived as ""restless"", since he/she tends to move quickly from one thing to the next.
","Ia menampilkan dua kekuatan yang bertolak belakang dalam perilakunya. Keinginan untuk mencapai hasil yang masuk akal namun memiliki dorongan yang besar untuk mencapai kesempurnaan, sikap agresif ada bersamaan dengan kepekaan. Ia mampu membuat keputusan sehari-hari dengan cepat, tapi juga mungkin menjadi terlalu berhati-hati dalam membuat keputusan yang lebih besar. Ia membutuhkan kebebasan bereksplorasi dan otoritas untuk memeriksa kembali dan menguji coba penemuan-penemuan. Terkadang dirinya membutuhkan bantuan untuk menyelesaikan proyek tapi  tidak menyukai pembatasan-pembatasan.

Sebenarnya ia seorang yang sensitif terhadap kritik, serta cenderung tidak berani menunjukkan perasaan dan emosinya. Orang lain melihatnya sebagai seorang yang ”cool” dan terlalu berterus terang dalam berkomunikasi dengan orang lain. Ia juga pendiam dan biasanya menjaga jarak dalam pergaulan sosial, serta tidak mudah mempercayai orang lain. Ia bisa menjadi tidak sabaran bila orang lain tidak mau mengikuti apa yang diyakininya bahwa hal tersebut adalah benar.",,,,,,2,2,2,2
DCI,Chancellor,"exhibits a high task-orientation while also enjoying people. They will typically be very good at recruting people for teams or organizations. He/She is friendly and like to invlove others, but he/she also like to see the task done right. Because of his/her desires to do things correctly. he/She sometimes appears domineering and agressive as pressure arises in situation.","Orang lain memandangnya sebagai seorang yang mampu beradaptasi, meski sebenarnya ia lebih menyukai bekerja sendiri, bahkan lebih menyukai mengerjakan tugasnya sendiri diluar kelompoknya. Ia juga seringkali nampak menjadi pekerja keras yang tidak pernah berhenti bekerja, karena ia mampu bekerja dengan cepat dari satu tugas ke tugas yang lain.Ia lebih terfokus pada proses, ia akan menjadi sensitif terhadap kritik namun cenderung menginternalisasikan perasaannya tersebut daripada mengekspresikannya dalam interaksinya dengan orang lain. Ia selalu melakukan klarifikasi mengenai tujuan yang ingin dicapai sebelum mengerjakan suatu proyek baru, karena ia bekerja dalam rangka mencapai standar yang telah ditentukan baginya.

Terkadang ia menghindar dari lingkungan sosialnya, dan dipersepsi sebagai seorang yang ‘dingin’ dan terlalu berterus terang. Ia menjadi pendiam bahkan menjadi pasif ketika melibatkan hubungan personal, ia juga tidak mudah mempercayai orang lain. Ia akan mengabaikan sisi perasaan orang lain karena selalu fokus pada pekerjaan. Ia akan menjadi tidak sabar dalam menghadapi orang yang tidak mengikuti perintahnya. Ia mudah bosan dengan pekerjaan rutin, karenanya ia membutuhkan kesempatan untuk bekerja dengan menghadapi hal-hal baru.",,,,,,1,1,2,1.367088111
DCS,Achiever,"is patient, controlled, and he/she enjoys digging for clues and facts.  He/She is easy going and amiable.  He/She plans his/her work carefully, but aggressively, asking questions and collecting data.  Then he/she works consistently in directed channels.   Being a considerate, modest individual, He/She relates well to most people.   He/She is a consistent, accommodating individual.  His/her reserved people skills dominate while his/her task-oriented traits are close behind.  He/She enjoys people, but is neither pushy nor gets in the way.   ","Dalam menghadapi situasi baru, ia cenderung bersifat moderat, ia akan menganalisis situasi dengan pendekatan yang bisa diterima lingkungan, ia menghindari sikap-sikap yang ekstrim karena ingin agar orang lain selalu memandangnya sebagai seorang yang ramah dan terbuka. Ia senang terlibat dalam situasi sosial namun tidak ingin menjadi pusat perhatian. Ia selalu mencari keseimbangan antara personal dengan pergaulan sosial.

Ia memiliki motivasi internal yang berakar pada sasaran pribadi yang mendasar. Komitmen pribadi ini mendahului komitmen pada sasaran kelompok yang lebih otomatis sifatnya. Selain itu Ia menampilkan  minat yang besar pada pekerjaannya serta dorongan untuk mencapai keberhasilan yang kuat dan berkesinambungan. Ia menganggap penting pekerjaannya dan karena itu pula seringkali  mau mengerjakannya untuk mendapatkan hasil yang benar. Akibatnya, ia lebih bertindak sebagai 'doer' daripada 'delegator'. Kalaupun sampai mendelegasi, selalu ada kecenderungan untuk menarik kembali tugas yang sudah didelegasikan tersebut bila Ia menganggap tugas tersebut tidak dijalankan secara memuaskan. ",,,,,,2,2,2,2
DI,Inspirational,"exhibit a tendency to be strong individualist. He/She is a visionary, progressive and work hard to attain goals. He/She is forceful and direct. He/She is courious and have a wide range of interests. At times, he/she may appear to be cold or blunt because their task-orientation tends to overtake their people-orientation.","Kemampuan kepemimpinannya bisa diandalkan. Ia mahir mempengaruhi orang lain dengan memberikan penjelasan-penjelasan logis dan argumentatif. Pola kepemimpinannya pun keras dan langsung  (forceful and direct), sehingga biasanya mengalami masalah dengan orang lain. Ia cepat berpikir dan cepat bertindak, tidak sabaran dan cenderung mencari kesalahan orang lain yang tidak setara dengan dirinya. Hal ini disebabkan karena dirinya menempatkan standar tinggi pada dirinya dan akan menjadi sangat terganggu bila standar yang telah ditentukannya tersebut tidak tercapai oleh orang lain.

Dalam bekerja ia biasanya akan menghindari faktor-faktor yang menghambat secara langsung seperti ketergantungan pada atasan, hal-hal detail yang memakan waktu, dan kerja rutin. Ia bisa menjadi seorang yang tempramental, terutama ketika ia merasa ada orang lain memanfaatkannya. Ia tidak sabaran dan menginginkan persaingan menang atau kalah.",,,,,,2,1,2,2
DIC,Chancellor,"exhibits a high task-orientation while also enjoying people. They will typically be very good at recruting people for teams or organizations. He/She is friendly and like to invlove others, but he/she also like to see the task done right. Because of his/her desires to do things correctly. he/She sometimes appears domineering and agressive as pressure arises in situation.","Orang lain memandangnya sebagai seorang yang mampu beradaptasi, meski sebenarnya ia lebih menyukai bekerja sendiri, bahkan lebih menyukai mengerjakan tugasnya sendiri diluar kelompoknya. Ia juga seringkali nampak menjadi pekerja keras yang tidak pernah berhenti bekerja, karena ia mampu bekerja dengan cepat dari satu tugas ke tugas yang lain.Ia lebih terfokus pada proses, ia akan menjadi sensitif terhadap kritik namun cenderung menginternalisasikan perasaannya tersebut daripada mengekspresikannya dalam interaksinya dengan orang lain. Ia selalu melakukan klarifikasi mengenai tujuan yang ingin dicapai sebelum mengerjakan suatu proyek baru, karena ia bekerja dalam rangka mencapai standar yang telah ditentukan baginya.

Terkadang ia menghindar dari lingkungan sosialnya, dan dipersepsi sebagai seorang yang ‘dingin’ dan terlalu berterus terang. Ia menjadi pendiam bahkan menjadi pasif ketika melibatkan hubungan personal, ia juga tidak mudah mempercayai orang lain. Ia akan mengabaikan sisi perasaan orang lain karena selalu fokus pada pekerjaan. Ia akan menjadi tidak sabar dalam menghadapi orang yang tidak mengikuti perintahnya. Ia mudah bosan dengan pekerjaan rutin, karenanya ia membutuhkan kesempatan untuk bekerja dengan menghadapi hal-hal baru.",,,,,,1,1,2,1.548690862
DIS,Director,"focuses on completion of tasks while demonstrating high regard for people.  He/She has the ability to move people and tasks in a forward direction because of his/her forward-thinking and people skills.  Not much for details, He/She tends to focus on overall goals while letting the details go that he/she sees as ""bogging down"" processes.  Energetic and social, He is able to motivate others while still completing |hisher goals.  He/She displays self-confidence and is able to persuade others.  Once his/her mind is made up, he/she persists and perseveres to the end","Kemampuan kepemimpinannya bisa diandalkan. Ia mahir mempengaruhi orang lain dengan memberikan penjelasan-penjelasan logis dan argumentatif. Pola kepemimpinannya pun keras dan langsung  (forceful and direct), sehingga biasanya mengalami masalah dengan orang lain. Ia cepat berpikir dan cepat bertindak, tidak sabaran dan cenderung mencari kesalahan orang lain yang tidak setara dengan dirinya. Hal ini disebabkan karena dirinya menempatkan standar tinggi pada dirinya dan akan menjadi sangat terganggu bila standar yang telah ditentukannya tersebut tidak tercapai oleh orang lain.",,,,,,1,1,2,1.90666181
