Job ID,Job Title,D,I,S,C,,32.0,,Job Title:,,,,,,,,,Pelayanan Perizinan dan Pengadministrasian KP dan TPS,0,-2,2,4,,,,jobrD,jobrI,jobrS,jobrC
PS0224,Pelayanan Perizinan dan Pengadministrasian KP dan TPS,0.0,-2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pr8141,Permohonan Re ekspor,-8.0,-1.0,4.0,-1.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pt10561,Permohonan Angkut Lanjut,-10.0,-5.0,6.0,-1.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pt111026,Permohonan Transhipment,-11.0,-10.0,2.0,-6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
PT101261,Pelayanan angkut lanjut barang tujuan KPPT,-10.0,-12.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
FF11762,Form 3E-3F,-11.0,-7.0,6.0,-2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
PD2494,Penerbit Surat BTD,-2.0,-4.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
PN4246,Pencacah BTD dan BDN,-4.0,-2.0,-4.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
AD4762,Analisis dan Pemroses Pembatalan BTD,-4.0,-7.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
AN4762,Analisis dan Pemroses Surat Pembatalan Status BDN,-4.0,-7.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
AN8348,Analisis dan Pemroses Skep BTD Siap Lelang dan Skep BTD Menjadi BMN,-8.0,-3.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
AN8326,Analisis dan Pemroses Permohonan Peruntukan BMN,-8.0,-3.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
AN6424,"Analisis dan Pemroses Persiapan Lelang BTD, BDN, dan atau BMN",-6.0,-4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
P)6426,Pelayanan Perbaikan Data Manifest Outward (Redress Data BC 1.1),-6.0,-4.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
P)4548,Pelayanan BCF 1.5 (Daftar Barang Impor BTD),-4.0,-5.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
An6324,Analis Pembebasan atau Keringanan,-6.0,-3.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pe121204,"Pemeriksa Fisik BIS, Returnable Package",-12.0,-12.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pn4495,Petugas Pemotongan,-4.0,-4.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
As001210,Analyzing Point Bidang Fasilitas,0.0,0.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Ar2064,Analisis Perijinan Re Impor,-2.0,0.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Aa2475,Audit Kinerja,2.0,-4.0,-7.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
SI02125,Surveylance KI,0.0,2.0,-12.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
PI12764,Patroli KI,12.0,-7.0,-6.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Ea2207,Evaluasi Kinerja,-2.0,2.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
TF2515,Tindak Lanjut APF,2.0,-5.0,-1.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
PF0224,Pendampingan Tim APF,0.0,2.0,-2.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pa7906,Pemeliharaan Sertifikat ISO / Supporting Agenda,-7.0,-9.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Tn2214,Tindak Lanjut Aduan,-2.0,2.0,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Mo3566,Mitigasi Resiko,-3.0,-5.0,-6.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pr4256,Pengolah Data Manifes Junior,-4.0,-2.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Cr2104,Creative Designer,-2.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
My71174,Master of Ceremony,-7.0,11.0,-7.0,-4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Vr6264,Videografer,-6.0,2.0,-6.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Vr5626,Video and Sound Editor,-5.0,-6.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pn6424,Pendistribusian Dokumen,-6.0,-4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pn1005,Pemeriksa Dokumen,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
PB4262,Pelayanan Rekonsiliasi Data Outward Manifes dengan PEB,-4.0,-2.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
PE4262,Pelayanan Rekonsiliasi Data Outward Manifes terhadap PEB dengan fasilitas KITE,-4.0,-2.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Ts4226,Tutup Pos Inward Manifes Kelompok Pos angkut terus,-4.0,-2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Fr4203,Fotografer,-4.0,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Ln6241,Laporan Rekonsiliasi Penerimaan,-6.0,-2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pe7042,Pengisian modul pelaporan online,-7.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
P)3341,Penyelesaian permohonan revisi  pembayaran atas penerimaan Negara (Penyelesaian permohonan koreksi data  Billing DJBC) (loket),-3.0,-3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
P)0162,Penyelesaian permohonan revisi  pembayaran atas penerimaan Negara (Penyelesaian permohonan koreksi data  Billing DJBC) (pemeriksa),0.0,-1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
P)5241,Pengelolaan Jaminan dalam rangka Kepabeanan (loket),-5.0,-2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
P)2243,Pengelolaan Jaminan dalam rangka Kepabeanan (pemeriksa),-2.0,-2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
P)6242,Pengelolaan Jaminan dalam rangka Kepabeanan (distributor),-6.0,-2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
P)5061,Pengembalian Bea Masuk (loket),-5.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pk4242,Pengembalian Bea Masuk,-4.0,-2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
P)6705,Pengembalian Bea Masuk (Admin),-6.0,-7.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pg4643,Pemeriksa Piutang,-4.0,-6.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Ja2521,Jurusita,2.0,5.0,-2.0,-1.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
AN1024,Analis dan pemroses surat pembatalan status BDN,-1.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
A)4142,Analis Pembebasan/ Keringanan (loket),-4.0,-1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
Pr0427,Pemeriksa Fisik Barang Ekspor,0.0,-4.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
