Karakter
PROFIL,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
C,Akurat,Analitis,Hati-hati,Penuh Kesadaran,Menemukan fakta,Ketepatan,Standar tinggi,Sistimatis,,,,8
IDC,Antusias,Inovatif,Optimis,Persuasif,Aktif berbicara,Dapat diandalkan,Bersaing untuk mendapatkan pengakuan diri,,,,,7
IDS,Antusias,Inovatif,Optimis,Persuasif,Aktif berbicara,Penuh perhatian,Bersaing untuk mendapatkan pengakuan diri,,,,,7
IS,Antusias,Inovatif,Optimis,Loyal,Telaten,Dorongan untuk mencapai tujuan,,,,,,6
ISC,Loyal,Dapat diandalkan,Berorientasi pada manusia,Mampu memimpin dan dipimpin dengan antusiasme yang sama,Optimis,Praktis,,,,,,6
ISD,Antusias,Inovatif,Optimis,Loyal,Telaten,Penentu,Dorongan untuk mencapai tujuan,,,,,7
S,Pendengar yang baik,Peserta tim,Posesif,Tenang,Mudah diprediksi,Memahami orang lain,Penuh persahabatan,Mampu berempati,,,,8
SC,Hati-hati,Posesif,Sensitif,Lambat untuk berubah,Mudah diprediksi,Menghindari konfrontasi,Memendam perasaan,,,,,7
SCD,Hati-hati,Lebih berpikir kepada proses,Lambat untuk berubah,Mudah diprediksi,Kemauannya besar,Tidak efektif bekerja bila tergesa-gesa,,,,,,6
SCI,Tenang,Loyal,Antusias,Optimis,Telaten,,,,,,,5
SD,Bersahabat,Tenang,Loyal,Menentukan tujuan,Dorongan untuk mencapai tujuan,Membuat dan mengevaluasi metode baru,,,,,,6
SDC,Bersahabat,Tenang,Loyal,Menentukan tujuan,Dorongan untuk mencapai tujuan,Membuat dan mengevaluasi metode baru,,,,,,6
SDI,Antusias,Inovatif,Optimis,Loyal,Telaten,Dorongan untuk mencapai tujuan,,,,,,6
SI,Antusias,Inovatif,Optimis,Loyal,Telaten,Dorongan untuk mencapai tujuan,,,,,,6
SIC,Tenang,Loyal,Antusias,Optimis,Telaten,,,,,,,5
SID,Antusias,Inovatif,Optimis,Loyal,Telaten,Dorongan untuk mencapai tujuan,,,,,,6

Karakteristik Pekerjaan yang sesuai,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,9
C,Pekerjaan yang menuntut akurasi dan ketepatan,Menganalisa masalah secara mendalam,Pendekatan kritis dalam menyelesaikan masalah,Menjelaskan secara menyeluruh dan sistimatis tentang tugas,Mentaati prosedur operasi standar,Merancang dan mengembangkan program,Mengumpulkan informasi secara rinci,Melakukan evaluasi program,"Verifikasi, validasi dan pengendalian pekerjaan",,,9
D,Pekerjaan yang membutuhkan pengambilan keputusan secara cepat,Pekerjaan yang berorientasi kepada hasil,Pekerjaan yang kompetitif dan banyak tantangan,Bebas dari pekerjaan detail dan spesifik,Menggunakan kekuasaan dan wewenang,Mengambil suatu gagasan dan menjalankannya,Beragam kegiatan,Bebas dari pengawasan langsung,Memunculkan ide-ide baru,,,9
I,Banyak berhubungan dengan orang lain,Pekerjaan yang memerlukan pendekatan persuasif,Melakukan verbalisasi yang inspiratif,Aktif dan mobilitas tinggi,Kesempatan untuk mempresentasikan konsep baru,Mengembangkan kegiatan baru yang berbeda,Pekerjaan yang cepat berubah-ubah,Pekerjaan yang melibatkan hubungan dengan orang lain,Melakukan pembinaan dan arahan kepada orang lain,,,9
S,Pekerjaan yang menuntut kesabaran,Mengikuti prosedur baku,Klarifikasi kebijakan sebelum melangkah,"Mengumpulkan informasi, fakta dan data",Melakukan penyiapan bahan-bahan pendukung,Menyimpan dan memeliharan dokumen,Pekerjaan rutin dan administratif,"Melaksanakan, mengelola pekerjaan sesuai peraturan",Pekerjaan yang memerlukan konsistensi dalam jangka waktu panjang,,,9

Kekuatan,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
C,Konservatif,Pemikir,Sadar akan mutu,Mematuhi aturan,Diplomatis,Waspada,Perfeksionis,Senang pada detail,Senang pada rincian yang rumit,Mampu mengorganisasikan tugas,Memiliki perencanaan jangka panjang,Menentukan standar yang tinggi dan ideal,Mampu menganalisa secara mendalam,Bekerja dengan akurasi tinggi,Konsisten menjaga kualitas,,,,,,,,,,15
D,Percaya diri,Berkemauan keras,Tekun dan ulet,Berani dan tegar,Menghadapi hidup tanpa kompromi,Organisator dan promotor,Cepat bertindak,Berani memutuskan dalam keadaan mendesak,Mampu memberikan solusi,Memiliki inisiatif ,Mampu bekerja dengan cepat,Memotivasi orang lain untuk bekerja,Memberikan pertimbangan yang tepat,Cepat membuat keputusan,Berani mengambil resiko,,,,,,,,,,15
I,Hangat dan bersemangat,Berkharisma,Antusias,Ekspresif,Aktif,Enerjik,Meyakinkan,Memberikan semangat,Hangat,Aktif berbicara,Senang membina hubungan sosial dengan orang lain,Penampilan yang modis,Optimis,Humoris,Mampu menyampaikan dengan jelas,,,,,,,,,,15
S,"Tenang, cinta damai",Ramah,Sopan santun,Baik hati/ lembut hati,Tidak emosional,Sabar,Setia,Tekun,"Praktis, sederhana dalam bekerja",Keterampilan berinteraksi dengan orang lain,Mampu melibatkan orang lain,Menggunakan prinsip keseimbangan antara bekerja dan keluarga,Terbuka pada gagasan orang lain,Memiliki kesabaran dan ketenangan dalam bekerja,Memiliki Empati yang tinggi,,,,,,,,,,15

Kelemahan,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
C,Menyalahkan diri sendiri,Cenderung Rigid,"Pesimis, seringkali berpikir negatif",Sedih tanpa alasan,Sangat berhati-hati,Over Sensitif,Sulit memutuskan,Tidak tegas,"Terlalu banyak teori, kurang praktis",Mudah tersinggung,Terlalu banyak waktu digunakan untuk persiapan,Terlalu fokus pada hal detail,Mengingat hal-hal negatif,Menaruh curiga kepada orang lain,Menaruh curiga kepada orang lain,,,,,,,,,,15
D,Pendiriannya sangat keras,Terlalu cepat mengambil keputusan,"Tidak sabaran, suka menekan","Pendobrak, pemberontak",Kurang peka terhadap perasaan orang lain,Terlalu percaya diri,Kurang menghargai pendapat orang lain,Cenderung suka mengakali,"Kurang analitis, jemu dengan hal detail",Terlalu ingin dianggap sebagai pemimpin,Cenderung mendominasi,Memaksakan kehendak,Cenderung egois,Kurang sensitif,Tidak sabaran,,,,,,,,,,15
I,Terlalu reaktif,"Kurang tenang, tidak kalem",Cenderung melebih-lebihkan sesuatu,Pandai berpura-pura/basa basi,"Terlalu bergairah, meledak-ledak",Keputusannya sering berdasarkan emosi,"Tidak teratur, acak-acakan",Tidak ketat dalam disiplin diri,Banyak waktu terbuang karena mengobrol berlebihan,Tidak terorganisir,Sulit mengingat nama orang dan hal detail,Melebih-lebihkan,Tidak serius tentang berbagai hal,Mudah percaya pada orang lain,Impulsif,,,,,,,,,,15
S,Kurang percaya diri,Cenderung pemalu,"Pesimis, penakut, selalu khawatir",Kompromistis,Membenarkan diri sendiri,"Lamban, statis",Terlalu hati-hati,Cenderung menghindari resiko,Menolak/takut pada perubahan,Sulit memutuskan sesuatu,Kurang menunjukkan antusiasme kerja,Sulit menolak permintaan orang lain,Santai dalam bekerja,Menghindari konflik,Kurang ekspresif,,,,,,,,,,15



PROFIL,type,desc1,desc2,,,,,,,RAND()*(b-a)+a
C,Objective thinker," adalah seorang yang analitis, sistimatis, hati-hati dan memiliki standar kualitas yang tinggi. Dalam menghadapi persoalan, ia akan menganalisisnya secara mendalam, mengumpulkan bukti-bukti pendukung serta mampu menjabarkannya secara rinci. Ia sangat terpengaruh oleh hal-hal detail dan mampu menangkap inti persoalan dengan tepat. Ia seorang pekerja yang sangat taat pada peraturan dan prosedur. Ia akan menjalankan tugas dan tanggung jawabnya berdasarkan uraian tugas yang jelas. Ia mampu mengendalikan diri, penuh perhitungan dan sangat menuntut akurasi dalam bekerja. Ia juga memiliki perencanaan dan persiapan yang matang serta ingin segala sesuatunya berjalan sesuai dengan rencana yang telah ditetapkan. Sebagai seorang yang perfeksionis, ia akan selalu berusaha memberikan kualitas tinggi, akibatnya tempo kerjanya cenderung menjadi lambat dan selalu merasa ada yang kurang pada hasil yang telah dicapainya.

Perasaannya sensitif dan mudah tersinggung. Pada dasarnya ia memiliki empati yang cukup tinggi terhadap orang lain serta menghargai persahabatan. Ia senang berada dalam lingkungan sosial hanya saja kurang menyukai bila menjadi pusat perhatian. Ia lebih menyukai berada bersama beberapa sahabat dekat. Dalam lingkungan sosial, ia juga cenderung hanya menjadi pengikut karena kurang mampu berkomunikasi verbal atau mempengaruhi orang lain. Ia lebih menyukai berkomunikasi dengan tulisan. Dalam situasi tenang, ia akan aktif mencari solusi-solusi baru bila metode sebelumnya tidak dapat lagi digunakan pada situasi saat ini, namun dalam situasi penuh tekanan, ia cenderung menarik diri bahkan bisa menjadi keras kepala.","Karakteristik umum dirinya adalah seorang yang kritis, analitis, sistimatis, hati-hati dan memiliki standar kualitas yang tinggi. Dalam menghadapi persoalan, ia akan menganalisisnya secara mendalam, mengumpulkan bukti-bukti pendukung serta mampu menjabarkannya secara rinci. Hanya saja, perasaannya sensitif dan mudah tersinggung. Ia menganggap kritik atau perbedaan pendapat yang disampaikan kepadanya adalah suatu kelemahan diri karena ia menganggap bahwa dirinya selalu memberikan hasil yang sempurna. Ia juga tidak dapat mengekspresikan emosinya tersebut secara terbuka, ia lebih banyak memendamnya dan mengontrol perasaannya tersebut. Dalam lingkungan sosial, ia juga cenderung hanya menjadi pengikut saja karena kurang mampu berkomunikasi verbal, mempengaruhi orang lain. Ia lebih menyukai berkomunikasi dengan tulisan. Hal yang paling ditakuti adalah apabila terjadi konflik personal, dimana ia harus berhadapan dan berargumentasi dengan orang lain. Dalam situasi penuh tekanan, ia cenderung menarik diri bahkan menjadi keras kepala.",,,,,,4,4,4," adalah seorang yang analitis, sistimatis, hati-hati dan memiliki standar kualitas yang tinggi. Dalam menghadapi persoalan, ia akan menganalisisnya secara mendalam, mengumpulkan bukti-bukti pendukung serta mampu menjabarkannya secara rinci. Ia sangat terpengaruh oleh hal-hal detail dan mampu menangkap inti persoalan dengan tepat. Ia seorang pekerja yang sangat taat pada peraturan dan prosedur. Ia akan menjalankan tugas dan tanggung jawabnya berdasarkan uraian tugas yang jelas. Ia mampu mengendalikan diri, penuh perhitungan dan sangat menuntut akurasi dalam bekerja. Ia juga memiliki perencanaan dan persiapan yang matang serta ingin segala sesuatunya berjalan sesuai dengan rencana yang telah ditetapkan. Sebagai seorang yang perfeksionis, ia akan selalu berusaha memberikan kualitas tinggi, akibatnya tempo kerjanya cenderung menjadi lambat dan selalu merasa ada yang kurang pada hasil yang telah dicapainya.

Perasaannya sensitif dan mudah tersinggung. Pada dasarnya ia memiliki empati yang cukup tinggi terhadap orang lain serta menghargai persahabatan. Ia senang berada dalam lingkungan sosial hanya saja kurang menyukai bila menjadi pusat perhatian. Ia lebih menyukai berada bersama beberapa sahabat dekat. Dalam lingkungan sosial, ia juga cenderung hanya menjadi pengikut karena kurang mampu berkomunikasi verbal atau mempengaruhi orang lain. Ia lebih menyukai berkomunikasi dengan tulisan. Dalam situasi tenang, ia akan aktif mencari solusi-solusi baru bila metode sebelumnya tidak dapat lagi digunakan pada situasi saat ini, namun dalam situasi penuh tekanan, ia cenderung menarik diri bahkan bisa menjadi keras kepala. Karakteristik umum dirinya adalah seorang yang kritis, analitis, sistimatis, hati-hati dan memiliki standar kualitas yang tinggi. Dalam menghadapi persoalan, ia akan menganalisisnya secara mendalam, mengumpulkan bukti-bukti pendukung serta mampu menjabarkannya secara rinci. Hanya saja, perasaannya sensitif dan mudah tersinggung. Ia menganggap kritik atau perbedaan pendapat yang disampaikan kepadanya adalah suatu kelemahan diri karena ia menganggap bahwa dirinya selalu memberikan hasil yang sempurna. Ia juga tidak dapat mengekspresikan emosinya tersebut secara terbuka, ia lebih banyak memendamnya dan mengontrol perasaannya tersebut. Dalam lingkungan sosial, ia juga cenderung hanya menjadi pengikut saja karena kurang mampu berkomunikasi verbal, mempengaruhi orang lain. Ia lebih menyukai berkomunikasi dengan tulisan. Hal yang paling ditakuti adalah apabila terjadi konflik personal, dimana ia harus berhadapan dan berargumentasi dengan orang lain. Dalam situasi penuh tekanan, ia cenderung menarik diri bahkan menjadi keras kepala."
CD,Creative," menunjukkan orientasi terhadap tugas yang tinggi dan sangat sensitif terhadap problem. Tujuannya adalah memberikan hasil yang tepat dan menghindari kesalahan. Ia juga mampu berinisiatif melakukan perubahan dan perbaikan dikarenakan keahlian administrasinya yang cukup baik.

Ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut. Pada situasi penuh tekanan ia cenderung menjadi ""keras kepala"" dan menjadi ""agresif"".","Dalam mengambil keputusan, ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut.",,,,,,4,1,3.922235396," menunjukkan orientasi terhadap tugas yang tinggi dan sangat sensitif terhadap problem. Tujuannya adalah memberikan hasil yang tepat dan menghindari kesalahan. Ia juga mampu berinisiatif melakukan perubahan dan perbaikan dikarenakan keahlian administrasinya yang cukup baik.

Ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut. Pada situasi penuh tekanan ia cenderung menjadi ""keras kepala"" dan menjadi ""agresif"". Dalam mengambil keputusan, ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut."
CDI,Creative," pada dasarnya, ia adalah seorang pemikir yang kreatif, dengan tingkat intelektualitas yang memadai ia akan optimal dalam menjalankan pekerjaan yang banyak memerlukan kedalaman analisis dan pembuatan konsep-konsep pemikiran. Baginya kualitas adalah sangat penting, ia memiliki standar tinggi dalam bekerja. Akibatnya, ia akan menjadi cemas apabila hasil kerjanya dikritik atau dinilai negatif oleh orang lain. Ia juga menjadi kurang percaya pada hasil kerja orang lain bahkan seringkali ia menghabiskan waktunya untuk menyelesaikan sendiri tugas-tugasnya.","Dalam mengambil keputusan, ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut.",,,,,,4,2,2," pada dasarnya, ia adalah seorang pemikir yang kreatif, dengan tingkat intelektualitas yang memadai ia akan optimal dalam menjalankan pekerjaan yang banyak memerlukan kedalaman analisis dan pembuatan konsep-konsep pemikiran. Baginya kualitas adalah sangat penting, ia memiliki standar tinggi dalam bekerja. Akibatnya, ia akan menjadi cemas apabila hasil kerjanya dikritik atau dinilai negatif oleh orang lain. Ia juga menjadi kurang percaya pada hasil kerja orang lain bahkan seringkali ia menghabiskan waktunya untuk menyelesaikan sendiri tugas-tugasnya. Dalam mengambil keputusan, ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut."
CDS,Contemplator," menunjukkan pribadi yang berorientasi pada penyelesaian tugas-tugas yang diberikan dengan kualitas tinggi dan juga hal tersebut ditampilkannya dalam bekerja. Ia seorang yang selalu memegang teguh peraturan dan kebijakan-kebijakan yang berlaku dan selalu mempertimbangkan sisi positif dan negatif dalam bekerja karena pola berpikirnya yang sitimatis dan logis. Kemampuan analisanya sangat dalam, ia cepat menangkap inti permasalahan dan memberikan berbagai pilihan untuk mendapatkan jalan keluarnya.","Dalam bekerja, ia sangat mengacu pada aturan, sehingga dianggap tidak fleksibel. Ia membuat keputusan berdasarkan fakta dan data, bukan berdasarkan emosi. Ia tidak banyak berbicara dan tidak mudah mempercayai orang lain. Ia baru akan mempercayai orang lain setelah orang tersebut setelah menunjukkan pencapaian hasil seperti yang diharapkan dan sesuai dengan standar yang telah ditetapkannya. Ia bisa menjadi seorang inisiator atau perancang perubahan dalam organisasi karena bisa diandalkan untuk menciptakan konsep-konsep kreatif. 

Ketakutan terbesarnya adalah tidak ingin hasil karyanya dianggap tidak sempurna, dikritik atau dikoreksi oleh orang lain karena hal tersebut dianggap merendahkan kualitas dirinya yang ingin selalu dianggap sebagai seorang yang perfeksionis yang tidak pernah gagal. Ia juga akan mudah bosan dengan pekerjaan rutin atau administratif, dan dalam kondisi tertekan menjadi sinis atau merendahkan orang lain.",,,,,,2,2,2," menunjukkan pribadi yang berorientasi pada penyelesaian tugas-tugas yang diberikan dengan kualitas tinggi dan juga hal tersebut ditampilkannya dalam bekerja. Ia seorang yang selalu memegang teguh peraturan dan kebijakan-kebijakan yang berlaku dan selalu mempertimbangkan sisi positif dan negatif dalam bekerja karena pola berpikirnya yang sitimatis dan logis. Kemampuan analisanya sangat dalam, ia cepat menangkap inti permasalahan dan memberikan berbagai pilihan untuk mendapatkan jalan keluarnya. Dalam bekerja, ia sangat mengacu pada aturan, sehingga dianggap tidak fleksibel. Ia membuat keputusan berdasarkan fakta dan data, bukan berdasarkan emosi. Ia tidak banyak berbicara dan tidak mudah mempercayai orang lain. Ia baru akan mempercayai orang lain setelah orang tersebut setelah menunjukkan pencapaian hasil seperti yang diharapkan dan sesuai dengan standar yang telah ditetapkannya. Ia bisa menjadi seorang inisiator atau perancang perubahan dalam organisasi karena bisa diandalkan untuk menciptakan konsep-konsep kreatif. 

Ketakutan terbesarnya adalah tidak ingin hasil karyanya dianggap tidak sempurna, dikritik atau dikoreksi oleh orang lain karena hal tersebut dianggap merendahkan kualitas dirinya yang ingin selalu dianggap sebagai seorang yang perfeksionis yang tidak pernah gagal. Ia juga akan mudah bosan dengan pekerjaan rutin atau administratif, dan dalam kondisi tertekan menjadi sinis atau merendahkan orang lain."
CI,Appraiser," memiliki kecerdasan sosial yang baik, ia mampu merubah perilaku sesuai dengan tuntutan lingkungan. Ia adalah seorang yang mampu melakukan berbagai hal yang bervariasi sehingga sikapnya sangat efektif dan bisa memuaskan semua orang. Ia memiliki pribadi yang hangat, antusias dan senang berinteraksi dengan orang lain. Ia terampil memotivasi orang dan memberikan insight sehingga orang tersebut menemukan jalan keluarnya. Dalam pergaulannya, ia piawai dalam berkomunikasi dan meyakinkan orang lain. Ia juga dengan cepat akan dapat menyesuaikan diri dengan orang baru karena memiliki kemampuan adaptasi yang cepat.","Ia sangat kompetitif dan memakai cara langsung untuk memperoleh hasil. Ia tidak memberi perintah, tetapi melibatkan orang lain ke dalam pekerjaan dengan memakai metode persuasif. Ia memancing kerjasama orang-orang disekeliling dengan memberi penjelasan tentang dasar dari aktifitas yang akan dilakukan. Ia piawai membantu orang lain memperoleh gambaran mengenai langkah-langkah yang perlu diambil dalam mewujudkan hasil yang diinginkan. Ia biasanya berbicara dengan mempergunakan rencana tindakan yang rinci yang sudah disiapkan dalam rangka memastikan kemajuan yang teratur. Karena begitu ingin meraih kemenangan, dirinya dapat menjadi tidak sabar bila standar yang ada tidak dijalankan. Ia adalah pemikir kritis dan mendalam serta mampu mengekspresikan kritik secara verbal.

Namun demikian, karena selalu ingin disukai oleh orang lain, ia akan mengalami kesulitan pada saat harus menghukum atau memberikan tindakan-tindakan disiplin kepada orang lain.",,,,,,3,2,2," memiliki kecerdasan sosial yang baik, ia mampu merubah perilaku sesuai dengan tuntutan lingkungan. Ia adalah seorang yang mampu melakukan berbagai hal yang bervariasi sehingga sikapnya sangat efektif dan bisa memuaskan semua orang. Ia memiliki pribadi yang hangat, antusias dan senang berinteraksi dengan orang lain. Ia terampil memotivasi orang dan memberikan insight sehingga orang tersebut menemukan jalan keluarnya. Dalam pergaulannya, ia piawai dalam berkomunikasi dan meyakinkan orang lain. Ia juga dengan cepat akan dapat menyesuaikan diri dengan orang baru karena memiliki kemampuan adaptasi yang cepat. Ia sangat kompetitif dan memakai cara langsung untuk memperoleh hasil. Ia tidak memberi perintah, tetapi melibatkan orang lain ke dalam pekerjaan dengan memakai metode persuasif. Ia memancing kerjasama orang-orang disekeliling dengan memberi penjelasan tentang dasar dari aktifitas yang akan dilakukan. Ia piawai membantu orang lain memperoleh gambaran mengenai langkah-langkah yang perlu diambil dalam mewujudkan hasil yang diinginkan. Ia biasanya berbicara dengan mempergunakan rencana tindakan yang rinci yang sudah disiapkan dalam rangka memastikan kemajuan yang teratur. Karena begitu ingin meraih kemenangan, dirinya dapat menjadi tidak sabar bila standar yang ada tidak dijalankan. Ia adalah pemikir kritis dan mendalam serta mampu mengekspresikan kritik secara verbal.

Namun demikian, karena selalu ingin disukai oleh orang lain, ia akan mengalami kesulitan pada saat harus menghukum atau memberikan tindakan-tindakan disiplin kepada orang lain."
CID,Creative," pada dasarnya, ia adalah seorang pemikir yang kreatif, dengan tingkat intelektualitas yang memadai ia akan optimal dalam menjalankan pekerjaan yang banyak memerlukan kedalaman analisis dan pembuatan konsep-konsep pemikiran. Baginya kualitas adalah sangat penting, ia memiliki standar tinggi dalam bekerja. Akibatnya, ia akan menjadi cemas apabila hasil kerjanya dikritik atau dinilai negatif oleh orang lain. Ia juga menjadi kurang percaya pada hasil kerja orang lain bahkan seringkali ia menghabiskan waktunya untuk menyelesaikan sendiri tugas-tugasnya.","Dalam mengambil keputusan, ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut.",,,,,,4,2,2," pada dasarnya, ia adalah seorang pemikir yang kreatif, dengan tingkat intelektualitas yang memadai ia akan optimal dalam menjalankan pekerjaan yang banyak memerlukan kedalaman analisis dan pembuatan konsep-konsep pemikiran. Baginya kualitas adalah sangat penting, ia memiliki standar tinggi dalam bekerja. Akibatnya, ia akan menjadi cemas apabila hasil kerjanya dikritik atau dinilai negatif oleh orang lain. Ia juga menjadi kurang percaya pada hasil kerja orang lain bahkan seringkali ia menghabiskan waktunya untuk menyelesaikan sendiri tugas-tugasnya. Dalam mengambil keputusan, ia membuat keputusan berdasarkan fakta-fakta, bukan berdasarkan pada emosi, sehingga akan sulit bagi dirinya untuk memutuskan sesuatu yang belum didasarkan pada data-data yang ada. Ia memiliki standar tinggi, Ia merasa hanya dirinyalah yang dapat mengerjakan pekerjaannya dengan baik, menyebabkan seluruh waktunya tercurahkan pada penyelesaian tugas tersebut dan tidak memerlukan orang lain untuk membantu menyelesaikan tugasnya tersebut."
